id,duration,blue_gold,red_gold,gold_diff,blue_xp,red_xp,xp_diff,blue_ward_placed,red_ward_placed,ward_placed_diff,blue_ward_destroyed,red_ward_destroyed,ward_destroyed_diff,first_blood,blue_kills,red_kills,kill_diff,first_turret,blue_turrets,red_turrets,turret_diff,first_inhibitor,blue_inhibitors,red_inhibitors,inhibitor_diff,first_herald,blue_heralds,red_heralds,herald_diff,first_baron,blue_barons,red_barons,baron_diff,blue_air,red_air,air_diff,blue_hextech,red_hextech,hextech_diff,blue_fire,red_fire,fire_diff,blue_earth,red_earth,earth_diff,blue_water,red_water,water_diff,air,hextech,fire,earth,water,blue_win
5902952633,2058271,56886,56470,416,63166,61994,1172,55,56,-1,0,0,0,-1,36,37,-1,-1,3,7,-4,-1,0,2,-2,-1,0,2,-2,0,0,0,0,0,0,0,0,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,0
5890888803,1932913,51199,52473,-1274,59065,64886,-5821,43,71,-28,0,61,-61,1,28,35,-7,1,6,4,2,1,1,0,1,1,1,0,1,0,0,0,0,0,1,-1,1,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,1
5890933410,2003461,51938,46873,5065,59090,60706,-1616,44,51,-7,4,4,0,-1,26,26,0,1,7,1,6,0,0,0,0,-1,0,1,-1,0,0,0,0,0,0,0,1,0,1,0,1,-1,0,2,-2,0,0,0,0,0,0,0,0,1
5898955270,2279828,54961,61167,-6206,59844,65898,-6054,41,47,-6,12,6,6,-1,31,40,-9,-1,3,9,-6,-1,0,1,-1,1,1,1,0,0,0,0,0,2,0,2,0,0,0,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,0
5897280121,1901832,47838,59419,-11581,54325,66823,-12498,55,55,0,17,11,6,-1,17,39,-22,-1,3,7,-4,-1,0,1,-1,-1,0,1,-1,-1,0,1,-1,0,0,0,0,0,0,0,2,-2,0,1,-1,0,1,-1,0,0,-1,0,0,0
5894026228,2248174,52837,58561,-5724,65700,68399,-2699,39,91,-52,3,9,-6,-1,34,35,-1,1,2,7,-5,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,1,-1,0,1,-1,0,2,-2,0,0,0,0,0,0,-1,0,0
5894033371,2764220,50311,46730,3581,68909,61178,7731,113,33,80,4,9,-5,-1,20,17,3,1,4,2,2,0,0,0,0,-1,0,1,-1,1,1,0,1,0,2,-2,0,1,-1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
5894022345,2041107,52242,54808,-2566,60473,63367,-2894,106,46,60,10,11,-1,-1,27,33,-6,1,4,6,-2,0,0,0,0,-1,0,1,-1,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,0,1,-1,0,0,0,0,0,0
5893969620,2348681,55194,52600,2594,61816,58606,3210,57,46,11,11,8,3,1,34,27,7,1,4,2,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,-1,2,0,2,0,0,0,0,0,1
5892737022,1897367,55538,49025,6513,69173,56725,12448,53,34,19,6,8,-2,-1,33,16,17,1,6,5,1,1,1,1,0,1,2,0,2,1,1,0,1,1,0,1,0,0,0,0,1,-1,0,0,0,1,1,0,0,0,0,0,0,1
